arch,run,sharpe,ann_return,ann_vol,tracking_error,corr,mae,rmse,r2,source
ffn,ffn_base_20250819_205909,0.17040824527026863,0.0346668227522125,0.2034339517857877,0.2544998255485654,0.057490422045180005,0.012739752286712348,0.016027814363868836,-0.5658033725598375,mean_XT.csv
ffn,ffn_base_20250819_210944,0.17040824527026863,0.0346668227522125,0.2034339517857877,0.2544998255485654,0.057490422045180005,0.012739752286712348,0.016027814363868836,-0.5658033725598375,mean_XT.csv
lstm,lstm_base_20250819_205910,0.13234297449633262,0.02818458015040168,0.21296619830154045,0.26464049389722305,0.03649475509929761,0.013106672231803826,0.016666711422261584,-0.5449483426923769,mean_XT.csv
lstm,lstm_base_20250819_213920,0.13234297449633262,0.02818458015040168,0.21296619830154045,0.26464049389722305,0.03649475509929761,0.013106672231803826,0.016666711422261584,-0.5449483426923769,mean_XT.csv
ffn,ffn_bo_20250819_205910,0.1255249922335498,0.02669577521569876,0.21267298838807358,0.2620676750083314,0.05406882804845992,0.01314785860851607,0.016504898287228908,-0.5192754672590842,mean_XT.csv
transformer,transformer_bo_20250820_041922,0.12299699965360886,0.025590749879375357,0.20805995228701096,0.2674584477531155,-0.014548826508106122,0.01336397882480306,0.01684432570399045,-0.653353653527347,mean_XT.csv
transformer,transformer_base_20250820_010508,0.12240476329017033,0.025363842145173433,0.2072128687103982,0.26778572616027013,-0.022311457664431347,0.013371197917023679,0.016864947255229384,-0.6709829392593296,mean_XT.csv
lstm,lstm_bo_20250819_205909,0.12116811351598582,0.021828627319038684,0.18015158184466423,0.2457187246261018,-0.011388788752569635,0.01208008174716432,0.015476313279065904,-0.8616342168461397,mean_XT.csv
lstm,lstm_bo_20250819_214227,0.10851010406665716,0.022539169360984955,0.20771493636333874,0.2649663079849528,0.0026851681347456126,0.013124821693673818,0.016687741916935537,-0.628152884935048,mean_XT.csv
