,Portfolio_Ret,Mean_Field_Ret,Common_Noise_Factor
2014-01-02,-0.0076233333333333335,-0.008862,14.229999542236328
2014-01-03,-0.005117666666666666,-0.000333,13.760000228881836
2014-01-06,0.004537,-0.002512,13.550000190734863
2014-01-07,-0.0030026666666666674,0.006082,12.920000076293945
2014-01-08,0.0004253333333333331,-0.000212,12.869999885559082
2014-01-09,-0.004132666666666666,0.000348,12.890000343322754
2014-01-10,-0.004252666666666667,0.002307,12.140000343322754
2014-01-13,-0.003961,-0.012576,13.279999732971191
2014-01-14,0.010446666666666667,0.010818,12.279999732971191
2014-01-15,0.016465333333333335,0.005166,12.279999732971191
2014-01-16,-0.005610666666666667,-0.001347,12.529999732971191
2014-01-17,-0.015953666666666668,-0.003895,12.4399995803833
2014-01-21,0.006774666666666666,0.002774,12.869999885559082
2014-01-22,-0.003291,0.000575,12.84000015258789
2014-01-23,-0.007825,-0.00889,13.770000457763672
2014-01-24,-0.010200666666666667,-0.020875,18.139999389648438
2014-01-27,-0.00028499999999999993,-0.004876,17.420000076293945
2014-01-28,-0.019990666666666667,0.006141,15.800000190734863
2014-01-29,-0.011234000000000001,-0.010209,17.350000381469727
2014-01-30,-0.001129,0.011267,17.290000915527344
2014-01-31,-0.004348,-0.006465,18.40999984741211
2014-02-03,-0.009705333333333335,-0.022832,21.440000534057617
2014-02-04,0.010470666666666665,0.007641,19.110000610351562
2014-02-05,0.005644,-0.002028,19.950000762939453
2014-02-06,0.011561,0.01244,17.229999542236328
2014-02-07,0.007267,0.013302,15.289999961853027
2014-02-10,0.009782333333333332,0.001569,15.260000228881836
2014-02-11,0.011906,0.011062,14.510000228881836
2014-02-12,-0.005210333333333333,-0.000269,14.300000190734863
2014-02-13,0.009582,0.00581,14.140000343322754
2014-02-14,0.007275333333333334,0.004809,13.569999694824219
2014-02-18,-0.0028286666666666673,0.001158,13.869999885559082
2014-02-19,-0.011545666666666668,-0.006524,15.5
2014-02-20,-0.0029336666666666665,0.006031,14.789999961853027
2014-02-21,-0.003315,-0.001919,14.680000305175781
2014-02-24,0.0034193333333333333,0.006187,14.229999542236328
2014-02-25,-0.008100000000000001,-0.001348,13.670000076293945
2014-02-26,-0.005753333333333333,2.2e-05,14.350000381469727
2014-02-27,0.007709666666666667,0.004948,14.039999961853027
2014-02-28,0.0018646666666666662,0.002783,14.0
2014-03-03,-0.0076163333333333335,-0.007379,16.0
2014-03-04,0.012597666666666667,0.015268,14.100000381469727
2014-03-05,0.003265,-5.3e-05,13.890000343322754
2014-03-06,0.004261333333333333,0.001718,14.210000038146973
2014-03-07,0.004001333333333333,0.000538,14.109999656677246
2014-03-10,-0.00018266666666666678,-0.000463,14.199999809265137
2014-03-11,-0.0006583333333333331,-0.005082,14.800000190734863
2014-03-12,1.0000000000000243e-06,0.000305,14.470000267028809
2014-03-13,-0.006790333333333333,-0.011701,16.219999313354492
2014-03-14,-0.008227333333333335,-0.002822,17.81999969482422
2014-03-17,0.009509333333333333,0.009614,15.640000343322754
2014-03-18,0.005435333333333334,0.00722,14.520000457763672
2014-03-19,-0.002846666666666666,-0.006132,15.119999885559082
2014-03-20,0.006796,0.006041,14.520000457763672
2014-03-21,0.001089,-0.002933,15.0
2014-03-24,0.015017,-0.004865,15.09000015258789
2014-03-25,0.004965333333333333,0.004404,14.020000457763672
2014-03-26,-0.010116333333333333,-0.007,14.930000305175781
2014-03-27,-0.0006923333333333333,-0.0019,14.619999885559082
2014-03-28,0.000756,0.00464,14.40999984741211
2014-03-31,0.007155666666666668,0.007924,13.880000114440918
2014-04-01,0.0017543333333333334,0.007039,13.100000381469727
2014-04-02,0.0007266666666666666,0.002853,13.09000015258789
2014-04-03,-0.0014426666666666667,-0.001126,13.369999885559082
2014-04-04,-0.010356333333333334,-0.012537,13.960000038146973
2014-04-07,-0.006739333333333333,-0.01075,15.569999694824219
2014-04-08,0.002695333333333334,0.003751,14.890000343322754
2014-04-09,0.007334,0.010918,13.819999694824219
2014-04-10,-0.016452666666666668,-0.020885,15.890000343322754
2014-04-11,-0.016015666666666664,-0.009487,17.030000686645508
2014-04-14,-0.0005150000000000002,0.008217,16.110000610351562
2014-04-15,-0.0032236666666666663,0.006757,15.609999656677246
2014-04-16,0.006813666666666667,0.010488,14.180000305175781
2014-04-17,0.0040163333333333336,0.001364,13.359999656677246
2014-04-21,0.0019936666666666666,0.003775,13.25
2014-04-22,0.003789666666666667,0.004092,13.1899995803833
2014-04-23,-0.003934,-0.002213,13.270000457763672
2014-04-24,0.031437,0.001717,13.319999694824219
2014-04-25,0.0006093333333333333,-0.008096,14.0600004196167
2014-04-28,0.017917333333333334,0.003236,13.970000267028809
2014-04-29,0.000667333333333333,0.004761,13.710000038146973
2014-04-30,-0.001529,0.002992,13.40999984741211
