arch,version,run,source,status,info_ratio,ann_vol,mdd,sortino,var99,calmar,cagr,ulcer,es99,sharpe,ann_return,mdd_duration,es95,hit_rate,var95
ffn,fast1000,ffn_base_20250819_192356,(none),skipped_no_wealth,,,,,,,,,,,,,,,
ffn,fast1000,ffn_base_20250819_205124,(none),skipped_no_wealth,,,,,,,,,,,,,,,
ffn,fast1000,ffn_base_20250819_205148,(none),skipped_no_wealth,,,,,,,,,,,,,,,
ffn,fast1000,ffn_base_20250819_205909,mean_XT.csv,ok,-0.3482072750748908,0.2034339517857877,-0.06212575901259887,0.2794154485299124,-0.031383037684548434,0.17838972771767908,0.01108259723451166,0.03617572845501687,-0.03475488255927165,0.17040824527026863,0.0346668227522125,829.0,-0.026648434730069344,0.5025025025025025,-0.020380616592124923
ffn,fast1000,ffn_base_20250819_210944,mean_XT.csv,ok,-0.3482072750748908,0.2034339517857877,-0.06212575901259887,0.2794154485299124,-0.031383037684548434,0.17838972771767908,0.01108259723451166,0.03617572845501687,-0.03475488255927165,0.17040824527026863,0.0346668227522125,829.0,-0.026648434730069344,0.5025025025025025,-0.020380616592124923
ffn,fast1000,ffn_bo_20250819_205151,(none),skipped_no_wealth,,,,,,,,,,,,,,,
ffn,fast1000,ffn_bo_20250819_205910,mean_XT.csv,ok,-0.36856792160553214,0.21267298838807358,-0.06801772502871195,0.2027458443182026,-0.0314658576479368,0.029470299476811714,0.0020045027263275728,0.03804139179606863,-0.03641823493619141,0.1255249922335498,0.02669577521569876,866.0,-0.02895645288081865,0.4924924924924925,-0.021451366315208085
ffn,super300,ffn_base_20250819_192357,(none),skipped_no_wealth,,,,,,,,,,,,,,,
ffn,super300,ffn_base_20250819_205125,(none),skipped_no_wealth,,,,,,,,,,,,,,,
ffn,super300,ffn_base_20250819_205153,(none),skipped_no_wealth,,,,,,,,,,,,,,,
ffn,super300,ffn_base_20250819_205909,mean_XT.csv,ok,-0.912633106665951,0.2108047663432018,-0.05870915762834905,0.4891219799848925,-0.03063536903501173,0.5264616899487337,0.030908122340487232,0.03185239964123401,-0.03439943736917047,0.29650584089932613,0.062504844510177,129.0,-0.02682858381701416,0.5083612040133779,-0.021011701661316745
ffn,super300,ffn_base_20250819_210944,mean_XT.csv,ok,-0.912633106665951,0.2108047663432018,-0.05870915762834905,0.4891219799848925,-0.03063536903501173,0.5264616899487337,0.030908122340487232,0.03185239964123401,-0.03439943736917047,0.29650584089932613,0.062504844510177,129.0,-0.02682858381701416,0.5083612040133779,-0.021011701661316745
ffn,super300,ffn_base_20250820_085107,mean_XT.csv,ok,-0.7851659169062125,0.270446258034071,-0.06650987722062118,0.3376275635907489,-0.04172946829379874,0.20744644768249057,0.013797237765216464,0.03854419513643941,-0.047917285299952685,0.20911424778522117,0.056554165815122584,143.0,-0.036123969703975314,0.48494983277591974,-0.02676558249469399
ffn,super300,ffn_bo_20250819_205125,(none),skipped_no_wealth,,,,,,,,,,,,,,,
ffn,super300,ffn_bo_20250819_205154,(none),skipped_no_wealth,,,,,,,,,,,,,,,
ffn,super300,ffn_bo_20250819_205911,mean_XT.csv,ok,-0.9916231951183335,0.20047465425471453,-0.06194926906212783,0.45473827141461404,-0.02963962787937739,0.48866756303546105,0.03027259834441809,0.03402752967375398,-0.030051224705343233,0.274087443379291,0.054947585447021996,282.0,-0.02578906998016184,0.5250836120401338,-0.019750228259639607
ffn,super300,ffn_bo_20250820_084055,mean_XT.csv,ok,-0.991622740311593,0.20047471566838732,-0.06194938089986124,0.4547386951050425,-0.029639520424077664,0.48866668083983866,0.03027259834441809,0.034027531100369685,-0.030051263264529893,0.27408742000191977,0.05494759759316671,282.0,-0.025789092942833772,0.5250836120401338,-0.019750228259639607
lstm,fast1000,lstm_base_20250819_192355,(none),skipped_no_wealth,,,,,,,,,,,,,,,
lstm,fast1000,lstm_base_20250819_205151,(none),skipped_no_wealth,,,,,,,,,,,,,,,
lstm,fast1000,lstm_base_20250819_205910,mean_XT.csv,ok,-0.35935896265386214,0.21296619830154045,-0.05919145218180566,0.21954486004004894,-0.03264061267700607,0.0611980980786972,0.0036224042960426583,0.03042806546151253,-0.037245503809611856,0.13234297449633262,0.02818458015040168,805.0,-0.027227692401833852,0.5005005005005005,-0.020647276775138865
lstm,fast1000,lstm_base_20250819_213920,mean_XT.csv,ok,-0.35935896265386214,0.21296619830154045,-0.05919145218180566,0.21954486004004894,-0.03264061267700607,0.0611980980786972,0.0036224042960426583,0.03042806546151253,-0.037245503809611856,0.13234297449633262,0.02818458015040168,805.0,-0.027227692401833852,0.5005005005005005,-0.020647276775138865
lstm,fast1000,lstm_bo_20250819_205125,(none),skipped_no_wealth,,,,,,,,,,,,,,,
lstm,fast1000,lstm_bo_20250819_205148,(none),skipped_no_wealth,,,,,,,,,,,,,,,
