arch,version,run,source,start,end,ann_return,ann_vol,sharpe,sortino,cagr,calmar,mdd,mdd_duration,ulcer,hit_rate,var95,es95,var99,es99,tracking_error,corr,mae,rmse,r2,info_ratio
ffn,fast1000,ffn_base_20250819_205909,mean_XT.csv,462,588,-0.0043236544147016165,0.19253250102703373,-0.022456750894720507,-0.037939630982149204,-0.019405226426698174,-0.3597871338043742,-0.05393529841244771,124,0.03088310538245191,0.5238095238095238,-0.018363143550594315,-0.024487426828482088,-0.029714982775009436,-0.032857386251895326,0.23657301840682685,0.03329325036751502,0.01182692838598538,0.014858146749788725,-0.5128025745435074,-0.7039249680127342
ffn,fast1000,ffn_base_20250819_205909,mean_XT.csv,483,609,0.039690009180437746,0.20394455580268828,0.19461176114373424,0.3138289579175253,0.031536757444815766,0.614302608873026,-0.05133749554258249,42,0.02444955216171789,0.5396825396825397,-0.019786891242689526,-0.026937052702808044,-0.030778195083484863,-0.03692445867652733,0.2501683562759485,-0.004192954031824089,0.012323310748612475,0.015703991832672563,-0.5061109335247231,-0.48973416399802727
ffn,fast1000,ffn_base_20250819_205909,mean_XT.csv,504,630,-0.029347054645446624,0.20866439204356232,-0.14064237006628288,-0.20438685643270602,-0.037912771095760744,-0.7385005967872574,-0.051337495542583045,63,0.02547928484484045,0.5476190476190477,-0.02191988467830125,-0.03026480459023265,-0.03175337424703034,-0.03692445867652733,0.23632059474812772,0.1403798166599725,0.011573955682092782,0.014847077023757753,-0.28601580891367573,-0.810564372731058
ffn,fast1000,ffn_base_20250819_205909,mean_XT.csv,525,651,-0.04572574731618073,0.20362406953123818,-0.22455963787309485,-0.3177465162816841,-0.0352212030116964,-0.740540259294355,-0.04756149658258679,84,0.026407164943853527,0.5158730158730159,-0.02191988467830125,-0.03026480459023265,-0.03175337424703034,-0.03692445867652733,0.24769648530053992,0.014554577038690387,0.012286363995563807,0.015563258751834032,-0.4838975689261258,-0.8394618400171852
ffn,fast1000,ffn_base_20250819_205909,mean_XT.csv,546,672,0.05325042533530855,0.20904945610936254,0.25472644763759167,0.36006940022559625,0.045048803673956916,0.9471695995884591,-0.047561496582587126,105,0.02613743504425358,0.5079365079365079,-0.02191988467830125,-0.030869847294619533,-0.034929848445061466,-0.039042108141881415,0.2611759156836684,-0.06255025131318777,0.012525502426260873,0.016392821144457937,-0.5619617336544112,-0.4171731316782537
ffn,fast1000,ffn_base_20250819_205909,mean_XT.csv,567,693,-0.0024308952291709485,0.20800523009481753,-0.011686702435620703,-0.01648714011952584,-0.012720381155859606,-0.2757224112209736,-0.04613473783117705,45,0.025346571592951284,0.49206349206349204,-0.021661885701046678,-0.030869847294619533,-0.034929848445061466,-0.039042108141881415,0.2649756402733388,-0.10349878879590226,0.01310049065817755,0.016638358324891873,-0.6252999012179361,-0.6213284174324017
ffn,fast1000,ffn_base_20250819_205909,mean_XT.csv,588,714,0.012923830979993722,0.20877810129704416,0.06190223447623956,0.08578903141795047,-0.012840396830270606,-0.27832382785522886,-0.04613473783117694,46,0.02594373202081187,0.5,-0.0255085417934564,-0.03160254369317377,-0.034929848445061466,-0.039042108141881415,0.23550664416166492,0.14747842122412227,0.011182755572982844,0.014788405353614116,-0.2744825042482293,-0.6338766770313732
ffn,fast1000,ffn_base_20250819_205909,mean_XT.csv,609,735,0.001581092116560212,0.1895349881661434,0.00834195380946895,0.012316644753805409,-0.00997710239427152,-0.21626008650533976,-0.04613473783117705,67,0.02759106826104648,0.4603174603174603,-0.019299366703458144,-0.027541180189055017,-0.03100562869245163,-0.03374661446432081,0.24523666191128515,-0.06361147001897556,0.01154065932747426,0.015400228436405998,-0.6770137125508728,-0.6549791806477379
ffn,fast1000,ffn_base_20250819_205909,mean_XT.csv,630,756,0.06486086322463835,0.1916698472929742,0.3383988881959937,0.5886496199207945,0.019769369190601793,0.38515929106347147,-0.051327774376196844,88,0.025578438211191594,0.4444444444444444,-0.01646615360114237,-0.023129069930754236,-0.02633551136060269,-0.03159653395977163,0.22025486412761183,0.16245717330731305,0.011079796883488207,0.013824981865903519,-0.32154702034680116,-0.44196588874859816
ffn,fast1000,ffn_base_20250819_205909,mean_XT.csv,651,777,0.035844684522998715,0.19510204728510705,0.18372274930881716,0.3209121123457728,-0.007954831677888796,-0.1549810365745764,-0.051327774376195734,109,0.02823187070572419,0.4603174603174603,-0.016931964413432168,-0.02342594107511572,-0.02633551136060269,-0.03159653395977163,0.24999317441093394,-0.0656089433412224,0.011997390885605847,0.01569348571061946,-0.6435247637476853,-0.5054590621313965
ffn,fast1000,ffn_base_20250819_205909,mean_XT.csv,672,798,0.02690868486720177,0.20062131355822865,0.13412675049299663,0.2418583567788249,0.02322205869868532,0.5296753324197615,-0.04384206187703321,80,0.022150362583634474,0.4603174603174603,-0.01874617420817168,-0.024097947992631936,-0.02735022714082716,-0.02884301158054109,0.23079750364365484,0.13368778161165668,0.011536655485086842,0.014491016672712615,-0.32527085119458143,-0.5862165447928489
ffn,fast1000,ffn_base_20250819_205909,mean_XT.csv,693,819,-0.016396557086134855,0.19691204355200898,-0.08326843188646381,-0.1370367587576517,-0.011910933854732186,-0.2716782319257601,-0.04384206187703332,80,0.022272763079115732,0.48412698412698413,-0.01874617420817168,-0.02574283387599165,-0.029544363525883712,-0.030885210529756568,0.2397174359899793,0.036218576938302896,0.012383561444328988,0.015057425117163447,-0.4853128501184336,-0.7450545111520418
ffn,fast1000,ffn_base_20250819_205909,mean_XT.csv,714,840,0.06884568519045287,0.1935037437050625,0.35578477125169805,0.6150897530200755,0.03041245435111528,0.7441128758262657,-0.04087075407389662,56,0.017702453414989962,0.49206349206349204,-0.01856666755795852,-0.024530713001001354,-0.029544363525883712,-0.030885210529756568,0.23744223498395386,0.03246079156477033,0.011844112535554587,0.014902587387505314,-0.5066267840426077,-0.3931916948804683
ffn,fast1000,ffn_base_20250819_205909,mean_XT.csv,735,861,0.050304599287544605,0.20250263313963288,0.2484145440857442,0.4359248014171935,0.053419346531599965,1.2141282731762773,-0.043998107705580214,77,0.020956163907373874,0.5,-0.01874617420817168,-0.025136682746206285,-0.029544363525883712,-0.030885210529756568,0.25811991711127313,-0.08355652992175826,0.012704405810111502,0.01620146045549694,-0.6259532471415594,-0.4335248591615491
ffn,fast1000,ffn_base_20250819_205909,mean_XT.csv,756,882,-0.026964163135870578,0.20912668649208807,-0.12893697876712984,-0.2155697839869078,-0.011061239754701635,-0.25140262460193963,-0.04399810770557999,98,0.02221674045435184,0.49206349206349204,-0.020457015868420098,-0.02678178542979424,-0.03120495805902168,-0.032380085322124996,0.24031922962669344,0.1116375099202487,0.01220688899530983,0.015097169096190117,-0.32383298847176234,-0.7871619904479695
ffn,fast1000,ffn_base_20250819_205909,mean_XT.csv,777,903,0.04397558149554048,0.22203877485740062,0.19805361258988577,0.3225861756491048,0.02475503175464233,0.5626385552827494,-0.04399810770557999,119,0.02406590031416689,0.5158730158730159,-0.022422411150174116,-0.02903103299369544,-0.03219232683663162,-0.03282516615435488,0.2520626558059244,0.10178399934766887,0.012243322065757076,0.01582227706271812,-0.28985650562390886,-0.4690517051264072
