arch,version,run,source,status,info_ratio,ann_vol,mdd,sortino,var99,calmar,cagr,ulcer,es99,sharpe,ann_return,mdd_duration,es95,hit_rate,var95
transformer,fast1000,transformer_base_20250819_192425,(none),skipped_no_wealth,,,,,,,,,,,,,,,
transformer,fast1000,transformer_base_20250819_222722,(none),skipped_no_wealth,,,,,,,,,,,,,,,
transformer,fast1000,transformer_base_20250820_010508,mean_XT.csv,ok,-0.36567173602723635,0.2072128687103982,-0.05252893148675575,0.20950145183776303,-0.02948389933657947,0.03423095329293843,0.001798115400251099,0.026026562914480883,-0.03407062307010049,0.12240476329017033,0.025363842145173433,398.0,-0.02624469507709618,0.5015015015015015,-0.02031927906786636
transformer,fast1000,transformer_bo_20250819_223027,(none),skipped_no_wealth,,,,,,,,,,,,,,,
transformer,fast1000,transformer_bo_20250820_041922,mean_XT.csv,ok,-0.365270809184976,0.20805995228701096,-0.056206999284173054,0.21015204987040007,-0.029103249389285133,0.06073563436374496,0.0034137677572068093,0.028304777952295912,-0.03419427641997552,0.12299699965360886,0.025590749879375357,605.0,-0.026410535804845533,0.4994994994994995,-0.02015839181886444
